Symbol,Market,TradingPeriod,TradingUnits
rb,sc,"2010-01-01||8:59 - 10:15, 10:30 - 11:30, 13:30 - 15:00%2014-12-26||9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00, 20:59 - 00:00, 00:00 - 01:00",10
ri,zc,"2010-01-01||8:59 - 10:15, 10:30 - 11:30, 13:30 - 15:00",20
rm,zc,"2010-01-01||8:59 - 10:15, 10:30 - 11:30, 13:30 - 15:00%2014-12-12||9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00, 20:59 - 23:30",10
rs,zc,"2010-01-01||8:59 - 10:15, 10:30 - 11:30, 13:30 - 15:00",10
ru,sc,"2010-01-01||8:59 - 10:15, 10:30 - 11:30, 13:30 - 15:00%2014-12-26||9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00, 20:59 - 23:00 ",10
sf,zc,"2010-01-01||8:59 - 10:15, 10:30 - 11:30, 13:30 - 15:00",5
sm,zc,"2010-01-01||8:59 - 10:15, 10:30 - 11:30, 13:30 - 15:00",5
sn,sc,"2010-01-01||8:59 - 10:15, 10:30 - 11:30, 13:30 - 15:00%2013-12-20||9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00, 20:59 - 00:00, 00:00 - 1:00",1
sr,zc,"2010-01-01||8:59 - 10:15, 10:30 - 11:30, 13:30 - 15:00%2014-12-12||9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00, 20:59 - 23:30",10
ta,zc,"2010-01-01||8:59 - 10:15, 10:30 - 11:30, 13:30 - 15:00%2014-12-12||9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00, 20:59 - 23:30",5
tc,zc,"2010-01-01||8:59 - 10:15, 10:30 - 11:30, 13:30 - 15:00%2015-06-11||9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00, 20:59 - 23:30",100
zc,zc,"2010-01-01||8:59 - 10:15, 10:30 - 11:30, 13:30 - 15:00%2015-06-11||9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00, 20:59 - 23:30",100
v,dc,"2010-01-01||8:59 - 10:15, 10:30 - 11:30, 13:30 - 15:00",5
wh,zc,"2010-01-01||8:59 - 10:15, 10:30 - 11:30, 13:30 - 15:00",20
wr,sc,"2010-01-01||8:59 - 10:15, 10:30 - 11:30, 13:30 - 15:00",10
y,dc,"2010-01-01||8:59 - 10:15, 10:30 - 11:30, 13:30 - 15:00%2014-12-26||9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00, 20:59 - 00:00, 00:00 - 2:30%2015-05-08||9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00, 20:59 - 23:30",10
zn,sc,"2010-01-01||8:59 - 10:15, 10:30 - 11:30, 13:30 - 15:00%2013-12-20||9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00, 20:59 - 00:00, 00:00 - 1:00",5
